id,año,region,mes,inversion_mensual
1,2000,AMAZONAS,enero,0
2,2000,AMAZONAS,julio,0
3,2000,ICA,julio,0
4,2000,ICA,agosto,0
5,2000,ICA,setiembre,0
6,2000,ICA,octubre,0
7,2000,ICA,noviembre,0
8,2000,ICA,diciembre,0
9,2000,AMAZONAS,junio,0
10,2000,ICA,,0
11,2000,JUNÍN,octubre,0
12,2000,CUSCO,mayo,0
13,2000,CUSCO,marzo,0
14,2000,LAMBAYEQUE,julio,0
15,2000,AMAZONAS,febrero,0
16,2000,AMAZONAS,marzo,0
17,2000,AMAZONAS,abril,0
18,2000,JUNÍN,febrero,0
19,2000,AMAZONAS,mayo,0
20,2000,APURÍMAC,junio,334638
21,2000,APURÍMAC,julio,486312
22,2000,APURÍMAC,agosto,486312
23,2000,APURÍMAC,setiembre,486312
24,2000,APURÍMAC,octubre,235749.67
25,2000,APURÍMAC,noviembre,235749.67
26,2000,APURÍMAC,diciembre,235749.67
27,2000,APURÍMAC,,3638017.0199999996
28,2000,AREQUIPA,enero,18087
29,2000,AREQUIPA,febrero,18087
30,2000,AREQUIPA,marzo,18087
31,2000,AREQUIPA,abril,18750
32,2000,AREQUIPA,mayo,18750
33,2000,AREQUIPA,junio,18750
34,2000,AREQUIPA,julio,9087.33
35,2000,AREQUIPA,agosto,9087.33
36,2000,AREQUIPA,setiembre,9087.33
37,2000,AREQUIPA,octubre,25311.66
38,2000,AREQUIPA,noviembre,25311.66
39,2000,AREQUIPA,diciembre,25311.66
40,2000,AMAZONAS,octubre,0
41,2000,APURÍMAC,abril,334638
42,2000,AYACUCHO,octubre,0
43,2000,AYACUCHO,abril,0
44,2000,AYACUCHO,mayo,0
45,2000,AYACUCHO,junio,0
46,2000,AYACUCHO,julio,0
47,2000,AYACUCHO,agosto,0
48,2000,AYACUCHO,setiembre,0
49,2000,CAJAMARCA,octubre,0
50,2000,CAJAMARCA,agosto,0
51,2000,APURÍMAC,enero,155972.67
52,2000,AYACUCHO,,0
53,2000,CAJAMARCA,enero,0
54,2000,CAJAMARCA,febrero,0
55,2000,CAJAMARCA,marzo,0
56,2000,CAJAMARCA,abril,0
57,2000,CAJAMARCA,mayo,0
58,2000,APURÍMAC,febrero,155972.67
59,2000,AMAZONAS,,0
